venue,innings,batting_team,bowling_team,batsmen,bowlers,y_actual
Sawai Mansingh Stadium,1,Pune Warriors,Rajasthan Royals,"JD Ryder,MK Pandey,RV Uthappa","J Botha,AL Menaria,SR Watson,A Singh,SK Warne",49
Sawai Mansingh Stadium,2,Rajasthan Royals,Pune Warriors,"SR Watson,R Dravid,J Botha","M Kartik,AC Thomas,R Sharma,JE Taylor",34
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"DJ Jacobs,SR Tendulkar,AT Rayudu","BA Bhatt,P Kumar,Bipul Sharma",35
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"PC Valthaty,AC Gilchrist,SE Marsh","Harbhajan Singh,SL Malinga,AN Ahmed,MM Patel",24
Feroz Shah Kotla,1,Delhi Daredevils,Kochi Tuskers Kerala,"DA Warner,V Sehwag,NV Ojha","RP Singh,S Sreesanth,P Parameswaran",42
Feroz Shah Kotla,2,Kochi Tuskers Kerala,Delhi Daredevils,"M Klinger,BB McCullum,PA Patel","IK Pathan,M Morkel,UT Yadav",67
"Rajiv Gandhi International Stadium, Uppal",1,Kolkata Knight Riders,Deccan Chargers,"EJG Morgan,JH Kallis,G Gambhir","DT Christian,DW Steyn,I Sharma",41
"Rajiv Gandhi International Stadium, Uppal",2,Deccan Chargers,Kolkata Knight Riders,"S Sohal,S Dhawan,KC Sangakkara","B Lee,L Balaji,Iqbal Abdulla",41
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"SR Watson,R Dravid","JA Morkel,DE Bollinger,R Ashwin",47
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"MEK Hussey,M Vijay,SK Raina","ND Doshi,J Botha,SR Watson,SK Trivedi",43
Dr DY Patil Sports Academy,1,Mumbai Indians,Pune Warriors,"AC Blizzard,SR Tendulkar,AT Rayudu","AC Thomas,SB Wagh,JE Taylor",49
Dr DY Patil Sports Academy,2,Pune Warriors,Mumbai Indians,"JD Ryder,GC Smith,MK Pandey,AA Jhunjhunwala","Harbhajan Singh,MM Patel,DS Kulkarni,SL Malinga",31
Nehru Stadium,1,Kochi Tuskers Kerala,Kolkata Knight Riders,"BB McCullum,M Klinger,PA Patel,DPMD Jayawardene","B Lee,JD Unadkat,Iqbal Abdulla",35
Nehru Stadium,2,Kolkata Knight Riders,Kochi Tuskers Kerala,"JH Kallis,EJG Morgan","RP Singh,S Sreesanth,R Vinay Kumar,P Parameswaran",43
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Delhi Daredevils,"S Dhawan,DB Ravi Teja,KC Sangakkara","M Morkel,IK Pathan,AM Salvi",43
"Rajiv Gandhi International Stadium, Uppal",2,Delhi Daredevils,Deccan Chargers,"AJ Finch,NV Ojha,V Sehwag,Y Venugopal Rao","DW Steyn,I Sharma,DT Christian",29
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle,TM Dilshan,V Kohli","P Kumar,RJ Harris,R McLaren",48
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"AC Gilchrist,PC Valthaty,AM Nayar,SE Marsh,KD Karthik,Sunny Singh","Z Khan,S Aravind,CH Gayle",38
Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"MEK Hussey,M Vijay,SK Raina,S Badrinath","B Lee,Iqbal Abdulla,YK Pathan",15
Eden Gardens,2,Kolkata Knight Riders,Chennai Super Kings,"EJG Morgan,JH Kallis,G Gambhir","JA Morkel,R Ashwin,DE Bollinger",33
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"AC Blizzard,SR Tendulkar,AT Rayudu","M Morkel,IK Pathan,AB Agarkar",50
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"V Sehwag,DA Warner,CA Ingram,NV Ojha,Y Venugopal Rao,JR Hopes","Harbhajan Singh,SL Malinga,MM Patel,DS Kulkarni",23
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Pune Warriors,"AC Gilchrist,PC Valthaty,SE Marsh","B Kumar,SB Wagh,WD Parnell,R Sharma",34
"Punjab Cricket Association Stadium, Mohali",2,Pune Warriors,Kings XI Punjab,"JD Ryder,MK Pandey,RV Uthappa","P Kumar,RJ Harris,SJ Srivastava,BA Bhatt",40
M Chinnaswamy Stadium,1,Kochi Tuskers Kerala,Royal Challengers Bangalore,"M Klinger,BB McCullum,PA Patel","Z Khan,S Aravind,CH Gayle,DL Vettori",49
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kochi Tuskers Kerala,"CH Gayle,TM Dilshan,V Kohli","RP Singh,RR Powar,P Parameswaran,R Vinay Kumar",79
Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"MEK Hussey,M Vijay","AL Menaria,A Singh,SR Watson,J Botha",55
Sawai Mansingh Stadium,2,Rajasthan Royals,Chennai Super Kings,"SR Watson,R Dravid,AM Rahane","JA Morkel,DE Bollinger,DJ Bravo,R Ashwin",48
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"PC Valthaty,AC Gilchrist,SE Marsh","Harbhajan Singh,SL Malinga,MM Patel",39
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"AC Blizzard,SR Tendulkar,RG Sharma,A Symonds,AT Rayudu","P Kumar,BA Bhatt,Bipul Sharma,RJ Harris",33
"Rajiv Gandhi International Stadium, Uppal",1,Deccan Chargers,Pune Warriors,"S Dhawan,DB Ravi Teja","B Kumar,SB Wagh,WD Parnell,R Sharma",50
"Rajiv Gandhi International Stadium, Uppal",2,Pune Warriors,Deccan Chargers,"JD Ryder,MK Pandey","DW Steyn,I Sharma,PP Ojha,JP Duminy,DT Christian,A Mishra",52
Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"SR Watson,R Dravid","Z Khan,S Aravind,CK Langeveldt",43
Sawai Mansingh Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"CH Gayle,TM Dilshan","SR Watson,J Botha,Pankaj Singh,SK Trivedi",66
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Delhi Daredevils,"MEK Hussey,M Vijay,SK Raina","IK Pathan,AB McDonald,VR Aaron,AB Agarkar",42
"MA Chidambaram Stadium, Chepauk",2,Delhi Daredevils,Chennai Super Kings,"NV Ojha,DA Warner,CA Ingram","JA Morkel,DE Bollinger,R Ashwin",52
Holkar Cricket Stadium,1,Kochi Tuskers Kerala,Kings XI Punjab,"BB McCullum,DPMD Jayawardene","RJ Harris,BA Bhatt,Bipul Sharma,SJ Srivastava",62
Holkar Cricket Stadium,2,Kings XI Punjab,Kochi Tuskers Kerala,"AC Gilchrist,PC Valthaty,SE Marsh,KD Karthik","RP Singh,S Sreesanth",49
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"MJ Lumb,KC Sangakkara,S Sohal","SL Malinga,MM Patel,Harbhajan Singh,DS Kulkarni",32
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,"SR Tendulkar,AC Blizzard,AT Rayudu,RG Sharma,A Symonds","JP Duminy,I Sharma,PP Ojha",26
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"JH Kallis,EJG Morgan,G Gambhir,MK Tiwary,YK Pathan","Z Khan,CK Langeveldt,S Aravind",33
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle,LA Pomersbach,V Kohli","B Lee,JD Unadkat,JH Kallis",65
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Delhi Daredevils,"PC Valthaty,AC Gilchrist,SE Marsh","IK Pathan,M Morkel,VR Aaron,AM Salvi",43
Himachal Pradesh Cricket Association Stadium,2,Delhi Daredevils,Kings XI Punjab,"NV Ojha,DA Warner","P Kumar,RJ Harris,SJ Srivastava",42
Holkar Cricket Stadium,1,Rajasthan Royals,Kochi Tuskers Kerala,"FY Fazal,R Dravid,AM Rahane,SR Watson,AL Menaria","RP Singh,S Sreesanth",32
Holkar Cricket Stadium,2,Kochi Tuskers Kerala,Rajasthan Royals,"BB McCullum,DPMD Jayawardene,PA Patel,BJ Hodge","SW Tait,JDP Oram,ND Doshi,AA Chavan",87
Dr DY Patil Sports Academy,1,Pune Warriors,Deccan Chargers,"JD Ryder,MK Pandey,SC Ganguly","JP Duminy,DW Steyn,I Sharma,DT Christian",39
Dr DY Patil Sports Academy,2,Deccan Chargers,Pune Warriors,"S Sohal,S Dhawan","B Kumar,WD Parnell,R Sharma,MR Marsh",57
Himachal Pradesh Cricket Association Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"PC Valthaty,AC Gilchrist,SE Marsh","JJ van der Wath,CK Langeveldt,CH Gayle,S Aravind",30
Himachal Pradesh Cricket Association Stadium,2,Royal Challengers Bangalore,Kings XI Punjab,"CH Gayle,SS Tiwary,V Kohli,AB de Villiers","P Kumar,RJ Harris,SJ Srivastava",34
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kochi Tuskers Kerala,"MEK Hussey,M Vijay,SK Raina","RP Singh,S Sreesanth,M Muralitharan",41
"MA Chidambaram Stadium, Chepauk",2,Kochi Tuskers Kerala,Chennai Super Kings,"PA Patel,BB McCullum,Y Gnaneswara Rao","R Ashwin,DE Bollinger,SB Jakati",40
Dr DY Patil Sports Academy,1,Pune Warriors,Kolkata Knight Riders,"JD Ryder,MK Pandey,CJ Ferguson,SC Ganguly","B Lee,YK Pathan,Iqbal Abdulla,JH Kallis",29
Dr DY Patil Sports Academy,2,Kolkata Knight Riders,Pune Warriors,"G Gambhir,SP Goswami,MK Tiwary","AC Thomas,WD Parnell,R Sharma,B Kumar",44
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"TL Suman,SR Tendulkar,AT Rayudu,RG Sharma","AA Chavan,SR Watson",26
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"SR Watson,R Dravid","MM Patel,Harbhajan Singh,SL Malinga,DS Kulkarni",52
Himachal Pradesh Cricket Association Stadium,1,Deccan Chargers,Kings XI Punjab,"S Dhawan,DB Ravi Teja","P Kumar,RJ Harris,BA Bhatt",58
Himachal Pradesh Cricket Association Stadium,2,Kings XI Punjab,Deccan Chargers,"PC Valthaty,AC Gilchrist,SE Marsh,KD Karthik","JP Duminy,DW Steyn,Anand Rajan,PP Ojha",45
Feroz Shah Kotla,1,Delhi Daredevils,Pune Warriors,"NV Ojha,DA Warner,MS Wade","AC Thomas,JP Faulkner,SS Mundhe",33
M Chinnaswamy Stadium,1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey,M Vijay,SK Raina,S Badrinath,WP Saha","Z Khan,S Aravind,DL Vettori",79
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Chennai Super Kings,"AB de Villiers,V Kohli,CH Gayle","R Ashwin,DE Bollinger",44
Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"JH Kallis,SP Goswami,G Gambhir,MK Tiwary","AN Ahmed,SL Malinga,Harbhajan Singh,RW Price",46
Eden Gardens,2,Mumbai Indians,Kolkata Knight Riders,"TL Suman,SR Tendulkar,Harbhajan Singh","B Lee,Iqbal Abdulla,Shakib Al Hasan,L Balaji",54
Wankhede Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal,CH Gayle,V Kohli","JA Morkel,DE Bollinger,R Ashwin",44
Wankhede Stadium,2,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey,M Vijay,S Badrinath,SK Raina","Z Khan,S Aravind,A Mithun",25
Wankhede Stadium,1,Kolkata Knight Riders,Mumbai Indians,"G Gambhir,JH Kallis,SP Goswami,MK Tiwary,YK Pathan,RN ten Doeschate","DS Kulkarni,MM Patel,Harbhajan Singh,SL Malinga",25
Wankhede Stadium,2,Mumbai Indians,Kolkata Knight Riders,"AC Blizzard,SR Tendulkar","B Lee,Iqbal Abdulla,YK Pathan,Shakib Al Hasan",62
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Mumbai Indians,"MA Agarwal,CH Gayle","AN Ahmed,Harbhajan Singh,SL Malinga,MM Patel",68
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Royal Challengers Bangalore,"AC Blizzard,SR Tendulkar,Harbhajan Singh,RG Sharma","Z Khan,S Aravind,CH Gayle,A Mithun",52
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Royal Challengers Bangalore,"MEK Hussey,M Vijay","Z Khan,S Aravind,CH Gayle,J Syed Mohammad",56
"MA Chidambaram Stadium, Chepauk",2,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal,CH Gayle,V Kohli,AB de Villiers","R Ashwin,JA Morkel,DE Bollinger",47
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Mumbai Indians,"F du Plessis,M Vijay,SK Raina","SL Malinga,AN Ahmed,Harbhajan Singh,JEC Franklin",42
"MA Chidambaram Stadium, Chepauk",2,Mumbai Indians,Chennai Super Kings,"RE Levi,SR Tendulkar","JA Morkel,DE Bollinger,R Ashwin,RA Jadeja",53
Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"BB McCullum,JH Kallis,G Gambhir,MK Tiwary,YK Pathan,DB Das","IK Pathan,RE van der Merwe,M Morkel,UT Yadav,GJ Maxwell",46
Eden Gardens,2,Delhi Daredevils,Kolkata Knight Riders,"AJ Finch,V Sehwag","B Lee,M de Lange,Iqbal Abdulla,JH Kallis",48
Wankhede Stadium,1,Pune Warriors,Mumbai Indians,"MK Pandey,WD Parnell,SC Ganguly,RV Uthappa,CJ Ferguson","SL Malinga,Harbhajan Singh,MM Patel,PP Ojha",30
Wankhede Stadium,2,Mumbai Indians,Pune Warriors,"RE Levi,RG Sharma,AT Rayudu,JEC Franklin,KD Karthik","M Kartik,AB Dinda,MN Samuels,WD Parnell",27
Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"R Dravid,AM Rahane","P Kumar,JP Faulkner,PP Chawla",57
Sawai Mansingh Stadium,2,Kings XI Punjab,Rajasthan Royals,"AC Gilchrist,PC Valthaty,SE Marsh","SK Trivedi,J Botha,A Singh,KK Cooper",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Chennai Super Kings,Deccan Chargers,"M Vijay,SK Raina,F du Plessis,S Badrinath","Ankit Sharma,DW Steyn,MS Gony,DT Christian",44
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Deccan Chargers,Chennai Super Kings,"DJ Harris,S Dhawan,PA Patel","R Ashwin,JA Morkel,DE Bollinger",45
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Daredevils,"AB McDonald,CA Pujara,V Kohli","IK Pathan,DAJ Bracewell,M Morkel,UT Yadav",46
M Chinnaswamy Stadium,2,Delhi Daredevils,Royal Challengers Bangalore,"AJ Finch,V Sehwag,NV Ojha","Z Khan,R Vinay Kumar,AB McDonald",46
Subrata Roy Sahara Stadium,1,Pune Warriors,Kings XI Punjab,"JD Ryder,SC Ganguly,MN Samuels,RV Uthappa","P Kumar,JP Faulkner,AD Mascarenhas",38
Subrata Roy Sahara Stadium,2,Kings XI Punjab,Pune Warriors,"AC Gilchrist,PC Valthaty,Mandeep Singh,AM Nayar","AB Dinda,MN Samuels,A Nehra,R Sharma",19
Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid,AM Rahane,SP Goswami","B Lee,JH Kallis,SP Narine,Iqbal Abdulla",37
Sawai Mansingh Stadium,2,Kolkata Knight Riders,Rajasthan Royals,"JH Kallis,BB McCullum,G Gambhir,DB Das,MK Tiwary,YK Pathan","AA Chavan,A Singh,KK Cooper",27
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,1,Deccan Chargers,Mumbai Indians,"PA Patel,S Dhawan,B Chipli,DT Christian","Harbhajan Singh,MM Patel,SL Malinga,PP Ojha",45
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,2,Mumbai Indians,Deccan Chargers,"TL Suman,RE Levi,RG Sharma,AT Rayudu","Ankit Sharma,DW Steyn,DT Christian",29
M Chinnaswamy Stadium,1,Kolkata Knight Riders,Royal Challengers Bangalore,"JH Kallis,G Gambhir","Z Khan,R Vinay Kumar,HV Patel,M Muralitharan",60
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Kolkata Knight Riders,"CA Pujara,CH Gayle,V Kohli,AB de Villiers","B Lee,JH Kallis,L Balaji",20
Feroz Shah Kotla,1,Chennai Super Kings,Delhi Daredevils,"F du Plessis,SK Raina,S Badrinath","IK Pathan,UT Yadav,M Morkel",41
Feroz Shah Kotla,2,Delhi Daredevils,Chennai Super Kings,"NV Ojha,V Sehwag,KP Pietersen","JA Morkel,DE Bollinger,R Ashwin",50
Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"RE Levi,TL Suman,RG Sharma","AA Chavan,A Singh,KK Cooper",54
Wankhede Stadium,2,Rajasthan Royals,Mumbai Indians,"R Dravid,AM Rahane,SP Goswami,OA Shah","SL Malinga,MM Patel,JEC Franklin,PP Ojha",44
"MA Chidambaram Stadium, Chepauk",1,Royal Challengers Bangalore,Chennai Super Kings,"MA Agarwal,CH Gayle,V Kohli","R Ashwin,DE Bollinger,JA Morkel",56
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Royal Challengers Bangalore,"M Vijay,F du Plessis","DL Vettori,Z Khan,R Vinay Kumar,RR Bhatkal",52
"Punjab Cricket Association Stadium, Mohali",1,Pune Warriors,Kings XI Punjab,"JD Ryder,SC Ganguly,MN Samuels,RV Uthappa,AD Mathews","P Kumar,P Awana,AD Mascarenhas",29
"Punjab Cricket Association Stadium, Mohali",2,Kings XI Punjab,Pune Warriors,"PC Valthaty,SE Marsh,AC Gilchrist","AB Dinda,A Nehra,MN Samuels,AD Mathews",38
Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"R Dravid,AM Rahane","L Balaji,JH Kallis,SP Narine",45
Eden Gardens,2,Kolkata Knight Riders,Rajasthan Royals,"JH Kallis,G Gambhir,MS Bisla","J Botha,A Singh,AA Chavan",36
Subrata Roy Sahara Stadium,1,Chennai Super Kings,Pune Warriors,"F du Plessis,M Vijay","M Kartik,AB Dinda,A Nehra,R Sharma,MN Samuels",43
Subrata Roy Sahara Stadium,2,Pune Warriors,Chennai Super Kings,"RV Uthappa,JD Ryder,SC Ganguly","KMDN Kulasekara,JA Morkel,R Ashwin,DJ Bravo",56
Eden Gardens,1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist,Mandeep Singh,SE Marsh,DJ Hussey","YK Pathan,JH Kallis,SP Narine",26
Eden Gardens,2,Kolkata Knight Riders,Kings XI Punjab,"JH Kallis,G Gambhir,MS Bisla,MK Tiwary","P Kumar,BA Bhatt,AD Mascarenhas",48
M Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid,AM Rahane","Z Khan,S Aravind,R Vinay Kumar",43
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Rajasthan Royals,"MA Agarwal,CH Gayle,V Kohli","J Botha,Pankaj Singh,A Singh",54
Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"RE Levi,DJ Jacobs,RG Sharma,AT Rayudu","IK Pathan,S Nadeem,M Morkel",23
Wankhede Stadium,2,Delhi Daredevils,Mumbai Indians,"NV Ojha,V Sehwag,KP Pietersen","MM Patel,RP Singh,CJ McKay",41
Sawai Mansingh Stadium,1,Deccan Chargers,Rajasthan Royals,"KC Sangakkara,S Dhawan","Pankaj Singh,A Singh,J Botha",57
Sawai Mansingh Stadium,2,Rajasthan Royals,Deccan Chargers,"R Dravid,AM Rahane","Ankit Sharma,DW Steyn,DT Christian,Anand Rajan",62
M Chinnaswamy Stadium,1,Pune Warriors,Royal Challengers Bangalore,"RV Uthappa,JD Ryder","Z Khan,TM Dilshan,R Vinay Kumar,HV Patel,DL Vettori",58
M Chinnaswamy Stadium,2,Royal Challengers Bangalore,Pune Warriors,"TM Dilshan,CH Gayle,MA Agarwal","AB Dinda,A Nehra,B Kumar,MN Samuels",42
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"AC Gilchrist,PC Valthaty,SE Marsh","B Lee,JH Kallis,SP Narine",45
"Punjab Cricket Association Stadium, Mohali",2,Kolkata Knight Riders,Kings XI Punjab,"BB McCullum,G Gambhir","P Kumar,AD Mascarenhas,Harmeet Singh,PP Chawla",53
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Pune Warriors,"F du Plessis,S Badrinath","M Kartik,A Nehra,B Kumar,MN Samuels",42
"MA Chidambaram Stadium, Chepauk",2,Pune Warriors,Chennai Super Kings,"RV Uthappa,JD Ryder,SC Ganguly,MK Pandey","DE Bollinger,KMDN Kulasekara,R Ashwin",53
Feroz Shah Kotla,1,Deccan Chargers,Delhi Daredevils,"KC Sangakkara,S Dhawan,PA Patel","IK Pathan,KP Pietersen,M Morkel,AB Agarkar",50
Feroz Shah Kotla,2,Delhi Daredevils,Deccan Chargers,"NV Ojha,V Sehwag,KP Pietersen,DPMD Jayawardene,LRPL Taylor","V Pratap Singh,DW Steyn,DT Christian",34
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Royal Challengers Bangalore,"N Saini,PC Valthaty,SE Marsh,DJ Hussey","Z Khan,R Vinay Kumar,HV Patel",41
"Punjab Cricket Association Stadium, Mohali",2,Royal Challengers Bangalore,Kings XI Punjab,"MA Agarwal,CH Gayle,V Kohli,SS Tiwary,AB de Villiers","P Kumar,P Awana",36
Feroz Shah Kotla,1,Pune Warriors,Delhi Daredevils,"RV Uthappa,JD Ryder,SC Ganguly","IK Pathan,S Nadeem,M Morkel,UT Yadav",52
Feroz Shah Kotla,2,Delhi Daredevils,Pune Warriors,"DPMD Jayawardene,V Sehwag,KP Pietersen","AC Thomas,A Nehra,M Kartik,AD Mathews",49
"MA Chidambaram Stadium, Chepauk",1,Rajasthan Royals,Chennai Super Kings,"R Dravid,AM Rahane,OA Shah","KMDN Kulasekara,DE Bollinger,DJ Bravo,R Ashwin",41
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Rajasthan Royals,"S Badrinath,F du Plessis","AL Menaria,STR Binny,A Singh,KK Cooper,GB Hogg",45
Barabati Stadium,1,Deccan Chargers,Kolkata Knight Riders,"KC Sangakkara,S Dhawan","YK Pathan,B Lee,SP Narine,L Balaji",39
Barabati Stadium,2,Kolkata Knight Riders,Deccan Chargers,"BB McCullum,G Gambhir,MS Bisla","DW Steyn,Ankit Sharma,V Pratap Singh",42
Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"JEC Franklin,SR Tendulkar","P Kumar,BA Bhatt,P Awana,Azhar Mahmood",39
Wankhede Stadium,2,Kings XI Punjab,Mumbai Indians,"N Saini,Mandeep Singh","MM Patel,RP Singh,PP Ojha,KA Pollard",48
Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli,TM Dilshan,MA Agarwal","A Chandila,Pankaj Singh,KK Cooper",37
Sawai Mansingh Stadium,2,Rajasthan Royals,Royal Challengers Bangalore,"R Dravid,AM Rahane","Z Khan,R Vinay Kumar,DL Vettori",48
Subrata Roy Sahara Stadium,1,Pune Warriors,Delhi Daredevils,"JD Ryder,SC Ganguly,MK Pandey,RV Uthappa","IK Pathan,M Morkel,UT Yadav",28
Subrata Roy Sahara Stadium,2,Delhi Daredevils,Pune Warriors,"DPMD Jayawardene,V Sehwag,KP Pietersen","AC Thomas,A Nehra,LJ Wright",61
"Punjab Cricket Association Stadium, Mohali",1,Kings XI Punjab,Mumbai Indians,"N Saini,Mandeep Singh,SE Marsh","RJ Peterson,RP Singh,CJ McKay,MM Patel",44
"Punjab Cricket Association Stadium, Mohali",2,Mumbai Indians,Kings XI Punjab,"JEC Franklin,SR Tendulkar","P Kumar,BA Bhatt,P Awana",40
Subrata Roy Sahara Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel,S Dhawan,CL White","A Nehra,AC Thomas,MN Samuels,B Kumar",50
Subrata Roy Sahara Stadium,2,Pune Warriors,Deccan Chargers,"MK Pandey,JD Ryder,SC Ganguly,RV Uthappa","Ankit Sharma,JP Duminy,MS Gony,J Theron",44
Feroz Shah Kotla,1,Delhi Daredevils,Mumbai Indians,"DPMD Jayawardene,V Sehwag","SL Malinga,RP Singh,R Shukla",54
Feroz Shah Kotla,2,Mumbai Indians,Delhi Daredevils,"AC Blizzard,RG Sharma,SR Tendulkar,KD Karthik,AT Rayudu","IK Pathan,S Nadeem,M Morkel,UT Yadav",49
Eden Gardens,1,Kolkata Knight Riders,Royal Challengers Bangalore,"BB McCullum,G Gambhir","Z Khan,DL Vettori,KP Appanna,R Vinay Kumar",46
Eden Gardens,2,Royal Challengers Bangalore,Kolkata Knight Riders,"TM Dilshan,CH Gayle,V Kohli,AB de Villiers,SS Tiwary","YK Pathan,B Lee,SP Narine,JH Kallis",35
"MA Chidambaram Stadium, Chepauk",1,Kings XI Punjab,Chennai Super Kings,"Mandeep Singh,SE Marsh","KMDN Kulasekara,JA Morkel,R Ashwin,SB Jakati",43
"MA Chidambaram Stadium, Chepauk",2,Chennai Super Kings,Kings XI Punjab,"F du Plessis,S Badrinath,SK Raina","P Kumar,BA Bhatt,Bipul Sharma,P Awana,Azhar Mahmood",48
Feroz Shah Kotla,1,Delhi Daredevils,Rajasthan Royals,"DPMD Jayawardene,V Sehwag,KP Pietersen,LRPL Taylor","AA Chavan,Pankaj Singh,A Singh,KK Cooper",42
Feroz Shah Kotla,2,Rajasthan Royals,Delhi Daredevils,"R Dravid,AM Rahane","IK Pathan,S Nadeem,M Morkel,UT Yadav",40
Wankhede Stadium,1,Deccan Chargers,Mumbai Indians,"PA Patel,S Dhawan,IR Jaggi","Harbhajan Singh,RP Singh,MM Patel,SL Malinga",38
Wankhede Stadium,2,Mumbai Indians,Deccan Chargers,"RE Levi,RG Sharma,SR Tendulkar","DW Steyn,V Pratap Singh,DT Christian",31
"MA Chidambaram Stadium, Chepauk",1,Chennai Super Kings,Kolkata Knight Riders,"F du Plessis,MEK Hussey,SK Raina,DJ Bravo","Iqbal Abdulla,B Lee,YK Pathan,SP Narine",43
"MA Chidambaram Stadium, Chepauk",2,Kolkata Knight Riders,Chennai Super Kings,"G Gambhir,BB McCullum,JH Kallis","SB Jakati,JA Morkel,R Ashwin",37
Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,"R Dravid,AM Rahane","IK Pathan,UT Yadav,M Morkel,S Nadeem",56
Sawai Mansingh Stadium,2,Delhi Daredevils,Rajasthan Royals,"DPMD Jayawardene,KP Pietersen,V Sehwag","AA Chavan,Pankaj Singh,SR Watson,A Singh",61
Barabati Stadium,1,Deccan Chargers,Pune Warriors,"PA Patel,CL White,S Dhawan,KC Sangakkara","MN Samuels,WD Parnell,A Nehra,B Kumar",33
Barabati Stadium,2,Pune Warriors,Deccan Chargers,"MK Pandey,SC Ganguly,MJ Clarke","Ankit Sharma,JP Duminy,V Pratap Singh,DW Steyn",48
M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"MA Agarwal,V Kohli,CH Gayle","P Kumar,RJ Harris,P Awana",33
M Chinnaswamy Stadium,2,Kings XI Punjab,Royal Challengers Bangalore,"Mandeep Singh,SE Marsh,N Saini","Z Khan,R Vinay Kumar,AB McDonald",53
Subrata Roy Sahara Stadium,1,Mumbai Indians,Pune Warriors,"JEC Franklin,SR Tendulkar","M Kartik,AB Dinda,WD Parnell,B Kumar,A Nehra",42
